"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"Smarcc1","1","1","20","0","0.225686326200016"
"Lbr","1","1","20","10","0.148893218888853"
"Strbp","1","0.611111111111111","20","18","0.417552248501993"
"Pml","1","1","20","0","0.124636078290345"
"Rsl1d1","1","1","24","12","0.177311540475212"
"Srbd1","1","1","20","0","0.186715608371331"
"Usp39","1","1","24","10","0.0837318893221942"
"Slu7","0.839847417840376","0.183333333333333","20","0","0.273572699163651"
"Stab2","1","1","20","4","0.192365589875626"
"Ehmt2","1","0.611111111111111","20","18","0.129183619066391"
"Ints10","1","0.611111111111111","20","18","0.191243444690787"
"Ndc1","1","1","24","12","0.154178769806181"
"Kmt2c","1","1","20","16","0.630276864641454"
"Cyp4a12a","1","0.611111111111111","24","8","0.518075621537796"
"Ddx50","1","0.611111111111111","24","14","0.232330141694213"
"Puf60","1","1","20","16","0.19271849391271"
"Med13","1","0.611111111111111","20","16","0.329447956419757"
"Rfc1","0.839847417840376","0.183333333333333","24","8","0.20888406091698"
"Rad21","1","1","24","10","0.12483768957899"
"Arid1b","1","1","20","2","0.276536382266376"
"Actg2","1","1","20","6","0.435206547651289"
"Rbm39","1","1","20","0","0.0860257639390994"
"Ino80","1","0.611111111111111","20","18","0.329394438474098"
"Ctnna1","1","0.611111111111111","20","6","0.374766188727475"
"Nup85","1","1","20","10","0.16580447732491"
"Nup62","0.839847417840376","0.183333333333333","24","8","0.13975739460698"
"Rad50","1","0.611111111111111","20","6","0.343875137608923"
"Rbm34","1","1","20","16","0.0852355369519353"
"Gtf3c4","1","0.611111111111111","20","18","0.203471597440151"
"Calr","1","1","20","6","0.33974623280037"
"Pcyt1a","0.839847417840376","0.183333333333333","20","14","0.393312639847204"
"Ddx41","1","1","20","16","0.172437386619839"
"Mrc1","1","0.611111111111111","20","6","0.283687196103623"
"Noc3l","1","1","24","12","0.0870787138460572"
"Cyb5r3","1","0.611111111111111","24","16","0.11982063187184"
"Ddx39b","1","1","20","8","0.0650317661649243"
"Cyp2c37","1","1","24","6","0.421389065496465"
"Afg2a","1","0.611111111111111","20","16","0.564632895966754"
"Sec63","1","0.611111111111111","24","6","0.149836114434113"
"Arid2","1","1","20","0","0.347227775178641"
"Stim1","1","1","24","12","0.0657074520990096"
"Zfp62","1","1","24","6","0.200625856668158"
"Gulo","1","1","24","6","0.14721585231725"
"Nol6","1","1","20","10","0.173099688832073"
"Prpf19","1","0.611111111111111","24","12","0.151749506019396"
"Rbbp7","1","1","24","6","0.246619176627842"
"Metap1","1","1","20","18","0.264841505725568"
