"CycID","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","meta2d_Base","meta2d_AMP","meta2d_rAMP"
"Iqgap2","1","1","20","16","0.0915758571663898","3.94460632082089","0.0394292746698071","0.0099957439254931"
"Utp14a","1","1","20","4","0.160722100059018","5.91164867318764","0.0793011750447753","0.0134143924019786"
"Med12","0.0305555555555556","0.606912637828668","20","14","0.107085501895192","3.11150519954805","0.132649664754575","0.0426319919934064"
"Supt16h","1","1","20","6","0.174405705551096","5.46322563228614","0.118948592234486","0.0217725937459974"
"Smarca2","1","1","20","0","0.28621293442595","2.55273759910211","0.20980791334158","0.0821893771672331"
"Bclaf1","0.611111111111111","1","24","14","0.238822522664902","6.39233434466816","0.21921426309586","0.0342933037097327"
"Plrg1","1","1","20","8","0.128798989999776","6.22382510453625","0.0891982604735134","0.0143317427747931"
"Smarca4","1","1","20","18","0.146148084788514","2.82734245315363","0.0881532333835308","0.0311788313032983"
"Gtf3c1","0.611111111111111","1","20","16","0.0635736642374464","4.43720877424981","0.208157606715092","0.046911835188617"
"Prpf4","0.0305555555555556","0.606912637828668","24","6","0.137555949689887","6.15501430246766","0.167994707020434","0.0272939588382567"
"Bop1","1","1","24","22","0.0941422744008773","6.54798602194545","0.0261384399474262","0.00399182891652849"
"Prp4k","0.611111111111111","1","24","20","0.0548969914927939","5.22939846816863","0.0345219133659451","0.00660150753018346"
"Cpsf2","1","1","20","16","0.167385618637893","5.64794074542185","0.141109083390937","0.0249841649817801"
"Ubtf","1","1","24","6","0.124584311941762","6.36532329035663","0.144436390915377","0.0226911319860526"
"Utp18","0.611111111111111","1","20","16","0.274651151369561","5.64034498803909","0.290949723240621","0.0515836750868269"
"Zc3h14","1","1","24","18","0.118356684621139","5.1725871214629","0.0841222606002838","0.0162630920707417"
"Dnttip2","1","1","20","18","0.140304611462603","6.23107724333329","0.125389067820138","0.0201231766071097"
"Nup54","0.611111111111111","1","24","8","0.0631600794055357","6.43359634769845","0.0550873087814488","0.00856244405217553"
"Zhx3","1","1","20","18","0.37212881992531","4.851750458571","0.314469396512591","0.0648156576060205"
"Thoc1","1","1","24","18","0.107722681968121","5.99548017392237","0.226862536477887","0.0378389269744626"
"Hnrnpl","1","1","20","0","0.289340430044108","7.64506044973929","0.319235241477545","0.0417570591594775"
"Rreb1","1","1","20","0","0.327196922553302","3.65882670103835","0.179595602215903","0.0490855722040443"
"Ncl","0.183333333333333","0.839847417840376","24","20","0.278047866805885","8.64583965526566","0.251724192588553","0.0291150660462738"
"Cyp2a12","1","1","24","6","0.260128367089968","6.74287919047698","0.0199933877451676","0.00296511136865753"
"Zc3h11a","1","1","20","16","0.218500251309885","4.3839211223503","0.316091227937401","0.0721023985413174"
"Acsl1","0.611111111111111","1","20","6","0.189699505497158","7.17362608408633","0.223261083402322","0.0311224868407338"
"Znf318","0.0305555555555556","0.606912637828668","20","16","0.166469560312908","3.25257976776228","0.174014795975122","0.0535005467659419"
"Ddx3x","0.183333333333333","0.839847417840376","20","16","0.276211729978019","1.82826215852048","0.216986872963292","0.11868476955126"
"Paxbp1","1","1","20","10","0.0799876764719055","5.23551200516085","0.0667614173370047","0.0127516501291937"
"Rrp1b","1","1","20","10","0.0677895895014535","5.08028397502336","0.0941118477187511","0.0185249187213631"
"Adnp","0.183333333333333","0.839847417840376","24","6","0.230119527886258","3.09747241608816","0.0767733149814833","0.0247857945667976"
"Tasor2","0.611111111111111","1","24","10","0.385782864308761","2.77448959214478","0.330816683355973","0.119235150239017"
"Znf592","1","1","20","18","0.197483627238656","3.01455525114","0.180778126152974","0.0599684235625172"
"Pom121","1","1","20","10","0.094155403886532","5.74087008166193","0.0594415216983793","0.0103540963047141"
"Rbm14","1","1","24","18","0.0984011611883106","8.45392953247627","0.0654607762210042","0.00774323655875445"
"Eif4a3","1","1","20","0","0.055768211215227","8.23066499528822","0.0751844344230321","0.00913467313589761"
"Rprd2","0.611111111111111","1","24","0","0.142236203885565","3.94645320085157","0.136821638912809","0.0346695201867047"
"Ints3","0.183333333333333","0.839847417840376","20","14","0.104925996445679","4.83814016092078","0.179714586982891","0.0371453866579773"
"Pwp2","1","1","20","18","0.273152800044516","5.99734104074798","0.247902556761988","0.0413354109892457"
"Ddx10","1","1","20","18","0.233558149485411","5.38188167285416","0.180976905061692","0.0336270687582239"
"Snw1","1","1","20","14","0.0868817997971551","6.3668456245827","0.106357134744498","0.0167048395729666"
"Cdc40","1","1","20","8","0.0360703958216195","5.7943042853109","0.00242520068377297","0.000418549072391844"
"Hcfc1","1","1","24","6","0.0781502890687332","4.40738968772799","0.144715925220237","0.0328348377324534"
"Eef1a1","1","1","20","0","0.463173163259003","6.75875656397585","0.298220411611487","0.0441235616031802"
"Sf3a3","1","1","20","16","0.0909937601809185","7.01700588335","0.0482127509667419","0.00687084374279084"
"Ddx54","1","1","24","18","0.109626136939888","6.15007316351086","0.100116821777761","0.0162789643498498"
"Kpnb1","1","1","20","10","0.136075728962188","7.39200969328705","0.0408659062133434","0.00552838915382581"
"Tln2","1","1","20","10","0.851725390258699","1.76170220092992","0.508695079836262","0.288752026061921"
"Cpsf3","0.611111111111111","1","24","0","0.127727952385203","5.67363045343547","0.19897158412913","0.0350695354168951"
"Ints4","0.611111111111111","1","20","16","0.248689394785577","4.22764956835394","0.2874408868491","0.0679907078866561"
"Rbmx","1","1","20","0","0.259074347775991","3.9334422804478","0.263811208080757","0.0670687884228275"
"Ephx1","1","1","20","10","0.167438353311577","7.71034725749211","0.106773603403583","0.0138480926782944"
"Ncoa5","0.183333333333333","0.839847417840376","24","14","0.182742682775262","7.29113632116099","0.179223589195369","0.0245810229435994"
"Ddx24","0.183333333333333","0.839847417840376","20","18","0.304878949386296","5.48490342131461","0.247005453448203","0.0450336923870578"
"Mta2","1","1","20","16","0.0730222538314666","5.45726944510873","0.169496916662916","0.0310589239486486"
"Ylpm1","1","1","24","18","0.1762207708576","5.23924294854509","0.0232089083127544","0.00442982097617736"
"Ckap5","1","1","20","16","0.138312527147047","3.24995796705525","0.218082541348494","0.0671031882747998"
"Dkc1","1","1","20","16","0.0586753021401297","7.90408344463474","0.0468851143840823","0.00593175852867643"
"Hnrnpa1","1","1","20","2","0.5357949951939","4.83027472762405","0.157036508885811","0.0325108855584815"
"Gnl2","0.183333333333333","0.839847417840376","24","18","0.351496652770594","4.96861158144041","0.579032894002791","0.116538168563164"
"Hira","1","1","20","18","0.270337308296806","3.80901187529983","0.23028026387088","0.0604566936018682"
"Cdk13","0.183333333333333","0.839847417840376","20","8","0.235385358738222","3.00957636636842","0.202092112753422","0.0671496875812066"
"Por","1","1","20","12","0.0805835448759436","6.62856410548587","0.0203496878426169","0.00306999940240079"
"Usp36","1","1","24","22","0.163825949178033","4.08495762118889","0.138321659000144","0.0338612225210518"
"Esf1","1","1","20","18","0.354866999027981","3.75065723733293","0.365553101181286","0.0974637451651618"
"Actb","1","1","20","4","0.116483032907177","7.03148021873361","0.146183005020392","0.0207897911212101"
"Pcf11","1","1","20","8","0.152398109606759","3.13280166100951","0.0392905965378242","0.0125416801921521"
"Zhx2","0.183333333333333","0.839847417840376","20","0","0.356065011783068","4.96827941656636","0.21619141616839","0.0435143433051523"
"Sun1","1","1","20","6","0.136997132216448","4.78525785053487","0.141471863148537","0.0295641044991388"
