BH.Q	ADJ.P	PER	LAG	AMP
Smad2	0.0997176989742689	0.00371463344953366	20	18	1.06381530062198
Fzr1	0.0997176989742689	0.00371463344953366	22	0.183333333333332	1.05792637457513
Pcmtd2	0.0997176989742689	0.00371463344953366	20	18	1.01645695016646
Nipsnap1	0.0997176989742689	0.00371463344953366	24	6	1.01118544187417
Rnh1	0.0997176989742689	0.00371463344953366	20	18	0.976587393701306
Rfwd3	0.0997176989742689	0.00371463344953366	20	18	0.959241467879303
Znf652	0.0997176989742689	0.00371463344953366	24	8	0.955037824649599
Prkra	0.0997176989742689	0.00371463344953366	20	18	0.902435981974056
Rpl17	0.0997176989742689	0.00371463344953366	24	22	0.898948915508257
Tgfbr2	0.0997176989742689	0.00371463344953366	24	8	0.887291180195299
Alad	0.0997176989742689	0.00371463344953366	20	8	0.878230796449908
Foxk2	0.0997176989742689	0.00371463344953366	20	18	0.848030302095437
Znf746	0.0997176989742689	0.00371463344953366	20	18	0.807221934098341
Pura	0.0997176989742689	0.00371463344953366	24	20	0.798800651774907
Tle3	0.0997176989742689	0.00371463344953366	20	16	0.670279775840326
Aqp8	0.0997176989742689	0.00371463344953366	24	6	0.572784845100778
Rab4b	0.0997176989742689	0.00371463344953366	24	1	0.51726320992614
Lama4	0.0997176989742689	0.00371463344953366	20	2	0.498859542665461
Llph	0.0997176989742689	0.00371463344953366	24	20	0.448846802329646
Bhlhe40	0.0997176989742689	0.00371463344953366	20	16	0.428408307553481
Agrn	0.0997176989742689	0.00371463344953366	20	2	0.304125321997721
Mvp	0.0997176989742689	0.00371463344953366	20	2	0.152831819030805
Zfp36l1	0.121120616448334	0.00533014872615713	20	18	1.46508942369597
Gtf2i	0.121120616448334	0.00533014872615713	20	18	1.45433477349861
Clk3	0.121120616448334	0.00533014872615713	20	16	1.35259561089867
Dcaf5	0.121120616448334	0.00533014872615713	20	18	1.32027195540183
Arnt	0.121120616448334	0.00533014872615713	20	18	1.29410990324408
Kdm3b	0.121120616448334	0.00533014872615713	20	18	1.26053956923953
Ipo9	0.121120616448334	0.00533014872615713	24	2	1.23424488386529
Zbtb1	0.121120616448334	0.00533014872615713	20	18	1.22155911103657
Clock	0.121120616448334	0.00533014872615713	24	9	1.18126868826235
Etnppl	0.121120616448334	0.00533014872615713	20	16	1.01745101535559
Rnf14	0.121120616448334	0.00533014872615713	20	16	1.00993596342505
Sike1	0.121120616448334	0.00533014872615713	24	22	0.969200340294581
Gpatch3	0.121120616448334	0.00533014872615713	20	16	0.852462351299874
Rpl5	0.121120616448334	0.00533014872615713	20	18	0.843494340413823
Rars2	0.121120616448334	0.00533014872615713	20	0	0.827404261540421
Lgals9	0.121120616448334	0.00533014872615713	24	8	0.811113884424918
Hspb1	0.121120616448334	0.00533014872615713	20	18	0.807015685037068
Rpl7	0.121120616448334	0.00533014872615713	20	16	0.798240671280883
Tpm1	0.121120616448334	0.00533014872615713	24	22	0.770547233597745
Zfp90	0.121120616448334	0.00533014872615713	20	18	0.766419626725949
Kansl1l	0.121120616448334	0.00533014872615713	20	18	0.691985984328486
Tmem222	0.121120616448334	0.00533014872615713	24	8	0.677996674071369
Phf2	0.121120616448334	0.00533014872615713	24	10	0.650906023961737
Nup37	0.121120616448334	0.00533014872615713	24	6	0.632318872915271
Thap12	0.121120616448334	0.00533014872615713	20	18	0.594058062142753
Klf15	0.121120616448334	0.00533014872615713	20	16	0.57157392006229
Spi1	0.121120616448334	0.00533014872615713	24	18	0.548207057901186
Esco1	0.121120616448334	0.00533014872615713	24	8	0.544766476198303
Qpctl	0.121120616448334	0.00533014872615713	24	4	0.48709521293679
Narf	0.121120616448334	0.00533014872615713	20	18	0.482928661359962
Tuba1c	0.121120616448334	0.00533014872615713	20	14	0.474573387059301
Rai14	0.121120616448334	0.00533014872615713	24	22	0.473550990002384
