BH.Q	ADJ.P	PER	LAG	AMP
Nr1h2	0.0451808497204911	0.00115194459193934	20	18	0.649498052196958
Znf668	0.0451808497204911	0.00115194459193934	24	18	0.615211201734145
Nrp1	0.0451808497204911	0.00115194459193934	24	4	0.604376884982029
Trim56	0.0451808497204911	0.00115194459193934	20	16	0.593651782323705
Atp6v0d1	0.0451808497204911	0.00115194459193934	24	2	0.474503683009957
Tlk2	0.0451808497204911	0.00115194459193934	20	18	0.408424022662404
Xbp1	0.0534955806445995	0.00172835079544638	20	18	1.52587258526298
Ranbp3	0.0534955806445995	0.00172835079544638	20	18	1.47963474640851
Zkscan1	0.0534955806445995	0.00172835079544638	20	18	1.47507490937995
Nr1d1	0.0534955806445995	0.00172835079544638	20	14	1.43035456008825
Tpm4	0.0534955806445995	0.00172835079544638	24	22	1.4138219023055
Nr3c1	0.0534955806445995	0.00172835079544638	20	16	1.39161006066099
Akr1d1	0.0534955806445995	0.00172835079544638	20	16	1.38064216812446
Nr1d2	0.0534955806445995	0.00172835079544638	20	14	1.38056554567957
Tle4	0.0534955806445995	0.00172835079544638	20	18	1.35756743480293
Slc30a7	0.0534955806445995	0.00172835079544638	24	2	1.26474695004405
Wdr75	0.0534955806445995	0.00172835079544638	20	18	1.24649622509467
Tubb6	0.0534955806445995	0.00172835079544638	24	16	1.22815842486494
Dxo	0.0534955806445995	0.00172835079544638	20	18	1.21474451788707
Polr1f	0.0534955806445995	0.00172835079544638	20	16	1.20172135509396
Nr1i3	0.0534955806445995	0.00172835079544638	20	18	1.18616893544529
Chd8	0.0534955806445995	0.00172835079544638	20	18	1.16424275077181
Pprc1	0.0534955806445995	0.00172835079544638	20	18	1.14439972706445
Chp1	0.0534955806445995	0.00172835079544638	24	0	1.14295950841739
Gon4l	0.0534955806445995	0.00172835079544638	20	18	1.09970225761331
Tle5	0.0534955806445995	0.00172835079544638	20	18	1.08558868692715
Derl2	0.0534955806445995	0.00172835079544638	24	12	1.009260495775
Cpn1	0.0534955806445995	0.00172835079544638	24	4	0.975297481486009
Rorc	0.0534955806445995	0.00172835079544638	24	22	0.926522059431887
