"CT0_1"	"CT0_3"	"CT0_4"	"CT4_1"	"CT4_3"	"CT4_4"	"CT8_1"	"CT8_2"	"CT8_3"	"CT12_1"	"CT12_2"	"CT12_4"	"CT16_1"	"CT16_2"	"CT16_4"	"Perko_1"	"Perko_2"	"Perko_3"
"Nup93"	8.68784817837948	9.28851975668794	8.7599838514678	8.87171971849546	9.1526658150884	9.07478786332314	8.73258065573724	8.87289483907345	9.1380502037853	8.79025155213833	9.11928029103007	9.04286031958175	8.95901426673548	8.89493406559127	9.07467977366001	8.91903595088968	8.73747760339619	8.42533096875411
"Atrx"	4.65404183999754	3.60727873719787	3.34193035046182	3.5586653692333	3.71532084951221	3.98166596365412	4.25717596910323	4.0741638292996	3.61053163709736	3.68368487740198	3.50884496159867	3.38626599897417	3.23464146500209	3.53495080560017	2.97783078979281	3.19684565283755	3.59308395439706	3.85093889370967
"Prpf6"	8.39497214833138	8.32510957910661	7.50102879922413	8.43768894352688	8.48461296223719	7.65912689889114	8.2012243370544	7.92928468276463	8.35652728128834	8.21830737794227	8.53156962831312	7.82542774153375	8.2059056482542	8.44430539749925	7.92923231148873	7.83685863241449	7.99938877022996	7.58283843659317
"Spen"	4.6722126096487	4.14728683707948	3.42685971041388	4.48241578846125	4.18765118092251	3.71122952243944	4.22785819594879	4.17643951897818	3.72004779239894	4.19968311443559	4.16259754792569	3.66420261647029	4.25320743515496	4.38759101550914	3.65411589725644	3.48082634782534	3.88767677781269	3.47376566348038
"Nup210"	8.66277657497737	9.26431411799576	8.95070987365758	9.02086716846803	9.03248337532363	9.01761042744376	8.59396898407847	9.59888322955493	9.10825343949544	8.36881460539644	9.19396604353921	8.92093502282534	9.08762328081253	8.83406469214453	8.7609790224588	8.88726035079604	8.61796499460851	7.64827680624032
"Thrap3"	8.17649568984238	8.21087302718685	6.80951816175277	8.22590920376873	8.29357390452732	7.70897981607704	7.99922338407719	8.10911669533105	8.23422690980078	8.54027451335065	8.51270929776154	8.15908446165614	8.04577586775986	8.24246923043587	7.48240112464808	7.77619453959473	7.93645034268337	8.43418562026631
"Srrm2"	6.21642951697727	6.05142260559608	5.28724986398654	6.09476227801687	6.15237910444319	5.96083214951041	6.39404416738463	5.7324739698173	5.98978915099431	6.30784629678321	6.31908084998619	6.14805826448089	5.94358656385904	6.00398738619361	5.92396814240164	5.56734422433258	6.06587181810201	5.87433667967865
"Myh4"	-5.13883840331933	-1.5650577918045	-2.38029680839166	-7.52265845084093	-7.42456427362938	-5.49779365080519	-5.48096827467381	-6.07542331194915	-7.0962931408252	-5.09500049067165	-6.55448822105597	-7.85465679727405	-5.97751369346594	1.03643606000606	1.01655432830557	-3.33833069258715	3.55935295480477	-6.14358299039591
"Nup107"	7.38256908554958	8.31443977808359	7.83985787636242	7.99396152429431	7.94923798194666	8.14922840289484	7.5246711651428	8.12879971315607	8.11688865592184	7.78099523433774	8.00849207749009	7.83591749103631	8.00905682854271	7.7858822281993	7.88137525255708	7.68917561652835	7.67036440871805	6.60771439264763
"Ddx21"	8.58785136064716	8.37550014561693	8.2258428154425	8.24258811322595	8.31759866369769	7.69737656399661	8.27193841967688	8.18269757920294	8.31625620619408	8.33359837440738	8.25113700478557	8.06455933949223	8.49801451339229	8.69228641099937	8.41528058700063	8.50308751956944	8.39533982595461	7.97555351415684
"Nup214"	6.0770494505987	6.74330296761465	6.08624015295317	6.48367409729947	6.44898628427508	6.40330960396926	5.51570213365754	6.29254747841674	6.48369585677605	6.25466410441214	6.12136837112377	6.49211389518377	6.57871305870453	6.3809229370073	6.58897532352456	6.285036982916	6.25116142453349	5.35010123115943
"Smchd1"	5.39720904870686	5.04391212547155	4.26290064991298	5.16527911503254	4.30196990100517	4.60228174182073	5.79942483225699	4.7699514958598	4.70141971507539	5.0274214811525	4.86951000020768	4.98397866559169	4.75970227233266	4.75966956283969	5.04350337442022	4.97405945702907	4.67610524081405	4.60097555944245
"Lrp1"	2.44447851098373	3.9697244752989	5.10423467856204	3.38339801834469	3.61762673365491	3.82183769559762	2.94222984659669	3.12167385510134	3.38124270516856	2.62270873322966	2.65762557010913	3.60837590129457	3.16666434381492	3.04737096605943	3.24246849644079	5.46320413333438	3.38047278427453	2.0068016872642
"Sf3b3"	8.79239537230108	8.49380996271998	7.63166421704722	8.71139151804048	8.47214256029659	8.23644231745124	9.14969536121422	7.92713828854579	8.31067790871283	8.69774509887544	8.7931128731054	7.96604842158203	8.24129752579043	8.34515539377069	7.75589832210152	7.76705917300072	8.06769725399657	6.38569571712711
"Dsp"	4.09244808081695	3.00246154508119	2.77311369123754	4.02505898666114	3.4978460213618	2.68614323422782	2.83238394107662	2.99956139684769	4.94001979252952	2.48164372125619	4.30559016247571	2.8487829597471	2.63806077577916	2.65843280994391	1.99530119704569	4.59158336842787	4.56943150164468	3.3354016161693
"Dido1"	4.93625833635569	4.23379806931272	3.14919832729345	4.18883928231958	4.33118352640649	4.48906440809018	4.91307698040488	4.6156004814321	3.66552870932107	4.51536612169616	4.29710913844817	3.69166209047131	3.74451147712276	3.80149403548082	2.99954685593969	3.19024416994231	3.89716322590232	4.21737575622483
